game_id,tag
19710,Partial Controller Support
19710,FPS
19710,Classic
19710,stats
19710,Zombies
19710,Moddable
19710,Captions available
19710,Short
19710,Cinematic
19710,Aliens
19710,Dystopian
19710,Commentary available
19710,Episodic
19710,Includes Source SDK
19710,Silent Protagonist
11936,Multiplayer
11936,Atmospheric
11936,Co-op
11936,cooperative
11936,First-Person
11936,Sci-fi
11936,FPS
11936,Funny
11936,Free to Play
11936,Physics
11936,Competitive
11936,Valve Anti-Cheat enabled
11936,Includes Source SDK
19709,Singleplayer
19709,Steam Achievements
19709,Multiplayer
19709,Steam Cloud
19709,Atmospheric
19709,Great Soundtrack
19709,Story Rich
19709,First-Person
19709,Sci-fi
19709,Partial Controller Support
19709,Horror
19709,FPS
19709,Classic
19709,stats
19709,Zombies
19709,Post-apocalyptic
19709,Captions available
19709,Aliens
19709,Dystopian
19709,Commentary available
19709,Episodic
19709,Includes Source SDK
19709,Silent Protagonist
2551,Singleplayer
2551,Steam Achievements
2551,Multiplayer
2551,Full controller support
2551,Atmospheric
2551,steam-trading-cards
2551,Great Soundtrack
2551,RPG
2551,Co-op
2551,Story Rich
2551,Open World
2551,cooperative
2551,Third Person
2551,Horror
2551,Difficult
2551,Exploration
2551,Action RPG
2551,PvP
2551,Character Customization
2551,Replay Value
2551,Dark Fantasy
2551,Lore-Rich
10754,Singleplayer
10754,Steam Achievements
10754,Full controller support
10754,Steam Cloud
10754,Atmospheric
10754,Great Soundtrack
10754,RPG
10754,Story Rich
10754,First-Person
10754,Sci-fi
10754,Horror
10754,FPS
10754,Classic
10754,Dark
10754,Dystopian
10754,Remake
10754,Steampunk
10754,Commentary available
10754,Alternate History
10754,Underwater
654,Singleplayer
654,Steam Achievements
654,Multiplayer
654,Steam Cloud
654,Atmospheric
654,steam-trading-cards
654,Great Soundtrack
654,RPG
654,Co-op
654,Open World
654,2D
654,Partial Controller Support
654,Sandbox
654,Pixel Graphics
654,Retro
654,role-playing
654,Cute
654,Crafting
654,Building
654,overlay
654,Relaxing
654,Dating Sim
654,Shared/Split Screen Co-op
654,cloud saves
654,Fishing
654,Agriculture
654,co-op multiplayer
4252,Singleplayer
4252,Full controller support
4252,Atmospheric
4252,Great Soundtrack
4252,First-Person
4252,Sci-fi
4252,Partial Controller Support
4252,Classic
4252,Female Protagonist
4252,Short
4252,Colorful
4252,Futuristic
4252,Parkour
4252,Dystopian
4252,Stylized
4252,Time Attack
4252,european
10035,Singleplayer
10035,Full controller support
10035,Atmospheric
10035,Great Soundtrack
10035,Story Rich
10035,Open World
10035,Third Person
10035,Sandbox
10035,Stealth
10035,Tactical
10035,Third-Person Shooter
10035,Nudity
10035,Crime
10035,Assassin
10035,Episodic
10035,Illuminati
