game_id,platform
4639,PC
3486,Nintendo DS
3486,Nintendo Switch
3486,macOS
3486,PC
3486,iOS
3486,PlayStation 3
3486,Xbox 360
3486,Android
18241,PlayStation 3
18241,PC
18241,Xbox One
18241,PlayStation 4
18241,Xbox 360
6617,PC
6617,Xbox One
4550,Xbox 360
4550,PC
4550,Xbox One
4550,PlayStation 3
3932,Xbox 360
3932,PC
3932,PlayStation 3
3932,macOS
16112,Xbox One
16112,PC
16112,macOS
16112,PlayStation 4
3771,Xbox One
3771,Xbox 360
3771,PlayStation 3
3771,PC
3771,Nintendo Switch
3771,Wii U
3771,PlayStation 4
3771,PS Vita
58755,PlayStation 5
58755,Xbox One
58755,PC
58755,PlayStation 4
28623,PlayStation 3
28623,Nintendo Switch
28623,macOS
28623,PlayStation 4
28623,Xbox One
28623,PC
28623,Xbox 360
492,PC
492,PlayStation 4
492,PlayStation 3
492,Xbox One
5562,Xbox 360
5562,PC
5562,Xbox One
5562,PlayStation 3
17875,PlayStation 4
17875,Xbox 360
17875,Wii U
17875,Nintendo Switch
17875,PC
17875,Xbox One
3028,PC
3028,PlayStation 3
3028,PlayStation 4
817974,Android
817974,PC
29338,PC
29338,PlayStation 4
17126,PC
17126,PlayStation 4
17126,Nintendo Switch
17126,Xbox One
17126,macOS
17126,Linux
1169,macOS
1169,PC
1169,Xbox One
1169,PlayStation 4
7819,PlayStation 4
7819,Nintendo Switch
7819,macOS
7819,Xbox One
7819,Linux
7819,Web
7819,PC
42187,PlayStation 4
42187,macOS
42187,PC
42187,Xbox One
42187,Xbox Series S/X
1959,Xbox One
1959,Xbox 360
1959,PlayStation 3
1959,PlayStation 4
1959,Android
1959,iOS
1959,macOS
1959,Linux
1959,PC
3842,PC
3842,Xbox One
3842,PlayStation 4
3842,Xbox 360
3842,PlayStation 3
42,Xbox One
42,iOS
42,PC
42,Nintendo Switch
42,PlayStation 4
5703,PlayStation 4
5703,PlayStation 3
19365,PlayStation 3
19365,PC
19365,Xbox 360
3892,PC
3892,Wii U
3892,Xbox 360
3892,PlayStation 3
21924,PlayStation 4
21924,Xbox One
21924,PC
3408,Android
3408,PS Vita
3408,PlayStation 4
3408,PlayStation 3
3408,Linux
3408,macOS
3408,PC
3408,Nintendo Switch
3408,iOS
1774,PC
1774,PlayStation 4
1774,PS Vita
1774,Xbox One
1774,Nintendo Switch
1774,iOS
1774,Linux
1774,macOS
1774,Android
5159,Dreamcast
5159,GameCube
5159,Nintendo 64
5159,PC
5159,PlayStation
624,PC
624,Linux
624,iOS
624,macOS
28199,Xbox One
28199,PC
28199,Nintendo Switch
28199,Xbox Series S/X
2623,Web
2623,Nintendo Switch
2623,PC
2623,Xbox One
2623,PlayStation 4
2623,Xbox 360
2623,PlayStation 3
2873,Android
2873,macOS
2873,PC
2873,iOS
2873,Xbox One
2873,PlayStation 4
2733,Nintendo Switch
2733,PlayStation 4
2733,Linux
2733,macOS
2733,PC
9609,Linux
9609,macOS
9609,PC
28559,Xbox 360
28559,PlayStation 3
28559,PlayStation 4
28559,Xbox One
28559,PC
16209,Linux
16209,macOS
16209,PC
9600,PC
9600,PlayStation 4
274762,PlayStation 4
274762,PC
274762,Nintendo Switch
274762,Xbox One
11276,PC
11276,macOS
11276,Wii
11276,Xbox 360
11276,PlayStation 3
11276,iOS
11276,Xbox One
11686,macOS
11686,PC
11686,Linux
23322,PlayStation 4
23322,Xbox One
23322,PC
23322,macOS
23322,Linux
58753,PC
58753,Xbox One
58753,Xbox Series S/X
15834,macOS
15834,PC
15834,iOS
15834,Android
15834,PS Vita
15834,PlayStation 3
15834,Xbox 360
15834,Nintendo Switch
15834,PlayStation 4
15834,Xbox One
22511,Nintendo Switch
22511,Wii U
22781,iOS
22781,Xbox
22781,Android
22781,PlayStation 3
22781,PlayStation 2
22781,Xbox 360
22781,Nintendo Switch
22781,macOS
22781,PC
16343,PC
16343,macOS
16343,Linux
58617,Nintendo Switch
58617,PC
58617,Xbox One
58617,PlayStation 4
58617,PlayStation 5
58617,Xbox Series S/X
3371,PlayStation 4
3371,Xbox One
3371,PC
752,PlayStation 4
752,Nintendo Switch
752,Xbox One
752,macOS
752,PC
4440,PlayStation 3
4440,Xbox One
4440,PC
4440,macOS
4440,Xbox 360
16113,PC
16113,Xbox 360
16113,PlayStation 3
13194,PC
13194,Nintendo Switch
13194,Android
13194,Linux
13194,iOS
13194,macOS
20406,Linux
20406,macOS
20406,PC
18336,Xbox 360
18336,PC
18336,Xbox One
4101,PlayStation 4
4101,PlayStation 3
4101,Xbox 360
4101,Wii U
4101,PC
4101,Xbox One
4101,Nintendo Switch
306124,PC
306124,Nintendo Switch
306124,PlayStation 4
306124,Xbox One
2728,PC
2728,Xbox One
2728,PlayStation 4
12756,PC
12756,PlayStation 3
12756,Xbox 360
45821,Xbox One
45821,Nintendo Switch
45821,PlayStation 4
45821,PC
14446,Wii U
14446,Xbox One
14446,Xbox 360
14446,PlayStation 3
14446,PC
22121,Xbox One
22121,PC
22121,macOS
22121,Nintendo Switch
22121,PlayStation 4
22121,Linux
4573,PC
4573,PlayStation 3
4094,PlayStation 3
4094,Xbox 360
4094,PC
4094,Android
4094,Xbox One
2553,PlayStation 4
15426,PC
15426,Linux
14512,PC
14512,macOS
14512,Linux
3631,PlayStation 4
9966,Nintendo Switch
9966,PC
9966,PlayStation 4
9966,Xbox One
9966,PlayStation 5
18614,Linux
18614,PC
18614,macOS
2597,PC
2597,iOS
2597,Nintendo DS
2597,PlayStation 3
2597,Nintendo 3DS
2597,Xbox 360
2597,Wii
2597,PS Vita
2597,Android
4123,Nintendo Switch
4123,macOS
4123,PC
4123,PlayStation 4
4123,PlayStation 3
4123,Xbox 360
4123,Xbox One
30899,PlayStation 2
30899,PC
30899,Xbox
42895,PC
42895,Xbox One
42895,PlayStation 4
2115,PlayStation 4
2115,Nintendo Switch
2115,Xbox One
2115,PC
9671,PlayStation 4
9671,Xbox One
9671,PC
9671,macOS
9671,Linux
58550,PlayStation 4
58550,PC
58550,PlayStation 5
28152,PlayStation 4
28152,PC
28152,Xbox One
13247,Android
13247,Linux
13247,macOS
13247,PC
13247,iOS
13247,PlayStation 4
13247,Xbox One
13247,Nintendo Switch
13913,macOS
13913,PlayStation 2
13913,PlayStation 3
13913,PC
17857,Xbox Series S/X
17857,PC
17857,Xbox One
17857,Nintendo Switch
17857,PlayStation 4
46956,Linux
46956,PC
46956,macOS
50778,PC
50778,Xbox One
50778,PlayStation 4
3209,PlayStation 4
3209,PlayStation 3
14962,Xbox 360
14962,PlayStation 3
14962,PC
18183,PC
18183,iOS
19569,Xbox 360
19569,PlayStation 4
19569,PC
19569,PlayStation 2
19569,PlayStation 3
19569,Xbox
750,PlayStation 4
750,PC
750,Xbox One
11312,PlayStation 4
11312,Xbox One
11312,Nintendo Switch
11312,PC
11312,macOS
11312,Linux
5193,PlayStation 5
5193,PlayStation 4
5193,PC
5193,PlayStation
14016,PC
14016,Xbox 360
14016,Xbox One
14016,macOS
670682,PC
670682,macOS
670682,Linux
2518,PC
2518,PlayStation 3
2518,Xbox
2518,Classic Macintosh
2518,PlayStation 2
2518,Xbox 360
2518,PlayStation 4
3368,PlayStation 4
3368,PS Vita
3368,PC
3368,macOS
250,Xbox One
250,macOS
250,Linux
250,Nintendo Switch
250,Nintendo 3DS
250,Wii U
250,PlayStation 4
250,PS Vita
250,iOS
250,PC
16359,PC
16359,Linux
16359,macOS
16359,PlayStation 4
16359,Xbox One
274480,Nintendo Switch
274480,Xbox One
274480,PC
274480,PlayStation 4
274480,Xbox Series S/X
274480,PlayStation 5
3346,Xbox One
3346,PlayStation 4
3346,PC
17803,Xbox One
17803,PC
9653,PC
9653,macOS
9653,Linux
10449,PlayStation 4
10449,Xbox One
10449,Nintendo Switch
10449,PC
9793,Linux
9793,PC
9793,macOS
15858,Xbox
15858,Xbox 360
15858,Linux
15858,macOS
15858,PC
15858,Nintendo Switch
15858,Android
13628,PlayStation 4
13628,Xbox One
13628,PC
13628,macOS
12320,Xbox One
12320,PC
12320,macOS
12320,Linux
12320,Nintendo Switch
12320,PlayStation 4
51610,Nintendo Switch
51610,PC
51610,PlayStation 4
51610,Xbox One
3554,PlayStation 3
3554,PlayStation 4
3554,Xbox 360
3554,PC
3554,Xbox One
10092,Xbox One
10092,PC
50781,PC
50781,PlayStation 5
50781,Xbox Series S/X
50781,Xbox One
19299,macOS
19299,PC
10090,Nintendo Switch
10090,iOS
10090,Xbox One
10090,PC
10090,macOS
10090,Linux
10090,PlayStation 4
10090,Android
17380,PC
452638,macOS
452638,Xbox One
452638,Nintendo Switch
452638,PC
452638,Xbox Series S/X
452638,PlayStation 5
452638,PlayStation 4
19451,Xbox 360
19451,PlayStation 3
19451,PC
15274,PlayStation 4
15274,Nintendo Switch
15274,PC
15274,Xbox One
15274,Linux
15274,macOS
3427,Xbox One
3427,PC
3427,PlayStation 4
3427,PlayStation 3
3427,Xbox 360
12569,Linux
12569,PC
12569,macOS
3729,PC
3729,PlayStation 3
3729,Nintendo 3DS
3729,Xbox 360
3729,Xbox One
3729,Wii U
3729,PlayStation 4
