game_id,store
10090,PlayStation Store
10090,Steam
10090,GOG
10090,Google Play
10090,App Store
17380,Steam
17380,GOG
452638,Nintendo Store
452638,App Store
452638,PlayStation Store
452638,Xbox Store
452638,Steam
19451,Epic Games
19451,Steam
15274,Xbox Store
15274,Epic Games
15274,itch.io
15274,Steam
15274,Nintendo Store
15274,GOG
15274,PlayStation Store
3427,Xbox Store
3427,PlayStation Store
3427,Steam
3427,Xbox 360 Store
12569,Steam
12569,GOG
3729,GOG
3729,Steam
3729,Nintendo Store
3729,Xbox 360 Store
3729,Xbox Store
3912,PlayStation Store
3912,Steam
3912,Xbox 360 Store
5161,PlayStation Store
5161,Steam
5161,GOG
5161,Xbox 360 Store
5161,App Store
10001,Steam
829,PlayStation Store
829,Epic Games
829,Steam
829,Xbox Store
14062,Steam
3449,GOG
3449,PlayStation Store
3449,Xbox 360 Store
3449,Xbox Store
3449,Nintendo Store
4729,Xbox Store
4729,PlayStation Store
4729,Xbox 360 Store
5578,PlayStation Store
5578,Xbox Store
5578,Nintendo Store
5578,Xbox 360 Store
5578,Steam
678,Xbox Store
678,Steam
678,PlayStation Store
19452,Steam
19452,Xbox 360 Store
14690,Steam
14690,Nintendo Store
455597,Nintendo Store
455597,Steam
455597,Xbox Store
455597,PlayStation Store
2574,PlayStation Store
2574,Steam
2574,Xbox Store
2574,GOG
2574,Nintendo Store
2574,Epic Games
58813,PlayStation Store
58813,Steam
58813,Xbox Store
17174,Xbox 360 Store
17174,Steam
17174,PlayStation Store
17174,Nintendo Store
3300,PlayStation Store
3300,Steam
3300,Xbox Store
14317,Steam
19375,PlayStation Store
19375,Xbox Store
19375,Steam
19375,Xbox 360 Store
10064,Steam
10064,Xbox 360 Store
10064,PlayStation Store
2047,PlayStation Store
2047,Steam
2047,Google Play
2047,App Store
2047,Xbox Store
3697,PlayStation Store
3697,Steam
3697,Xbox 360 Store
4179,PlayStation Store
4179,Nintendo Store
4179,Xbox 360 Store
47137,PlayStation Store
47137,Xbox Store
47137,App Store
47137,Nintendo Store
47137,Epic Games
53341,Steam
53341,Xbox 360 Store
53341,PlayStation Store
11974,Steam
11974,GOG
11974,Xbox 360 Store
12019,Xbox Store
12019,Steam
12019,Xbox 360 Store
2300,PlayStation Store
2300,Xbox Store
2300,Steam
2300,Nintendo Store
2300,Epic Games
2166,App Store
2166,GOG
2166,Xbox 360 Store
2166,Xbox Store
2166,Steam
2166,Google Play
295021,Epic Games
295021,App Store
295021,GOG
295021,Steam
397477,GOG
397477,PlayStation Store
397477,Steam
397477,Xbox Store
442855,GOG
442855,Xbox Store
442855,Steam
442855,PlayStation Store
442855,Epic Games
442854,Xbox Store
442854,Steam
442854,Epic Games
28121,PlayStation Store
28121,Xbox Store
28121,App Store
28121,Nintendo Store
28121,Google Play
28121,Steam
28121,GOG
259801,Steam
259801,PlayStation Store
259801,Epic Games
9551,Steam
4032,PlayStation Store
4032,Steam
4032,GOG
4032,Xbox Store
4032,Nintendo Store
4000,Steam
4000,PlayStation Store
4000,Xbox 360 Store
10040,Steam
10040,GOG
295,PlayStation Store
295,Xbox Store
295,Steam
295,GOG
295,Nintendo Store
295,Epic Games
295,App Store
295,Google Play
19600,Xbox Store
19600,Steam
19600,PlayStation Store
19600,Xbox 360 Store
5687,PlayStation Store
3350,PlayStation Store
3350,Steam
3350,Xbox Store
3350,Google Play
3350,App Store
3350,Nintendo Store
3350,itch.io
3350,GOG
7381,PlayStation Store
7381,Epic Games
7381,Xbox Store
7381,Steam
7381,GOG
7381,Nintendo Store
9575,Steam
2100,Nintendo Store
2100,PlayStation Store
2100,Steam
2100,GOG
2100,Xbox 360 Store
2100,Xbox Store
2100,Google Play
2100,App Store
2100,Epic Games
3647,PlayStation Store
3647,Xbox Store
3647,Steam
3647,Nintendo Store
3647,Xbox 360 Store
3290,PlayStation Store
3290,Steam
5565,GOG
5565,PlayStation Store
5565,Steam
5565,Xbox 360 Store
685577,App Store
685577,Google Play
685577,itch.io
685577,Steam
5564,PlayStation Store
